COMPANY NAME,NAME,RAZÓN SOCIAL,RUT,Dirección Facturación,Dirección Despacho,Comuna Despacho,Región Despacho,Horario Despacho,Precio Caja,diasCredito,Orden de compra (SI O NO),Unidad/Caja,EMAIL PEDIDO,EMAIL FACTURA,CENTRO DE NEGOCIOS ,VENDEDOR 
ZOKO Gourmet,ZOKO Gourmet,ZOKO GOURMET SPA,77.732.169-2,LUIS CRUZ MARTINEZ 42,RETIRO,Santo Domingo,Valparaíso,,"$78,960",30,,CAJA,, sibylle.awe.e20@gmail.com,VENTAS ,FJAMIS
Z Gourmet,Z Gourmet,COMERCIAL Z GOURMET MARKET SPA,77.338.481-9,AV LOS TRAPENSES 3235,av camino los trapenses 3235,Lo Barnechea,Santiago,10:30 - 20:00,"$78,960",30,,CAJA,,catalina.smith@zgourmet.cl,VENTAS ,FJAMIS
yokono,yokono,EMPRESA GASTRONOMICA YOKONO LIMITADA,76.086.052-2,AV PROVIDENCIA 2220,av providencia 2220,Providencia,Santiago,08:30 - 15:00,"$78,960",1,,CAJA,,karen@yokono.cl ,VENTAS ,FJAMIS
Unimarc,Unimarc Las Tranqueras,SOCIAL RENDIC HERMANOS S.A.,81.537.600-5,Cerro El Plomo 5680 Piso 11,las tranqueras (vitacura 8400),Vitacura,Santiago,07:30 - 12:00,"$81,576",30,Revisar OC,CAJA,,atencionpyme@smu.cl,VENTAS ,FNASSAR
Unimarc,Unimarc Militares,SOCIAL RENDIC HERMANOS S.A.,81.537.600-5,Cerro El Plomo 5680 Piso 11,los militares (avda manquehue norte 457),Las Condes,Santiago,07:30 - 12:00,"$81,576",30,Revisar OC,CAJA,,atencionpyme@smu.cl,VENTAS ,FNASSAR
Unimarc,Unimarc Los Trapenses,SOCIAL RENDIC HERMANOS S.A.,81.537.600-5,Cerro El Plomo 5680 Piso 11,los trapenses (av jose alcalde delano 10497),Lo Barnechea,Santiago,07:30 - 12:00,"$81,576",30,Revisar OC,CAJA,,atencionpyme@smu.cl,VENTAS ,FNASSAR
Unimarc,Unimarc Santa Maria,SOCIAL RENDIC HERMANOS S.A.,81.537.600-5,Cerro El Plomo 5680 Piso 11,santa maria (av santa maria 6940),Vitacura,Santiago,07:30 - 12:00,"$81,576",30,Revisar OC,CAJA,,atencionpyme@smu.cl,VENTAS ,FNASSAR
Tu Market,Tu Market,MINIMARKET CORNEJO MORA SPA ,77.439.127-4,HAMBURGO 991,hamburgo 991,Ñuñoa ,Santiago,09:00 - 15:00,"$78,960",30,,CAJA,,Jorge@tumarketchile.cl ,VENTAS ,FJAMIS
Tremus,Tremus,EMPRESA DE PRODUCTOS SALUDABLES SPA ,76.851.659-6,AV CHICUREO 1920,carretera general san martín 8400 - Bodegas Megaflex,Colina,Santiago,9:00 - 17.30 (viernes 16 hs),"$78,960",30,Revisar OC,CAJA,,gestioncompras@tremus.cl ,VENTAS ,FJAMIS
Tottus CD,Tottus CD,HIPERMERCADOS TOTTUS SA,78.627.210-6,Calle Americo Vespucio 350,calle saladillo # 303,Quilicura,Santiago,07:00 - 10:00,"$68,568",30,Revisar OC,CAJA,,pagoproveedores@tottus.cl,VENTAS ,FNASSAR
