COMPANY NAME ,NAME,RAZÓN SOCIAL,RUT,Dirección Facturación,Dirección Despacho,Comuna Despacho,Región Despacho,Horario Despacho,Precio Caja,diasCredito,Orden de compra (SI O NO),Unidad/Caja,EMAIL PEDIDO,EMAIL FACTURA,CENTRO DE NEGOCIOS ,VENDEDOR ,BANEADO,Precio Caja 90,Precio Caja Free,
Tremus,Tremus,EMPRESA DE PRODUCTOS SALUDABLES SPA ,76.851.659-6,AV CHICUREO 1920,carretera general san martín 8400 - Bodegas Megaflex,Colina,Santiago,9:00 - 17.30 (viernes 16 hs),"$78,960",NOTA DE VENTA (CONTADO),Revisar OC,CAJA,,gestioncompras@tremus.cl ,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Sano Market,Sano Market,SANO MARKET SPA,76.743.736-6,Providencia 2601 local 17,av providencia 2601 local 18,Providencia,Santiago,10:00 - 20:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,contacto@sanomarket.cl,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Roof Burger Vitacura,Roof Burger Vitacura,INVERSIONES ROOF VITACURA LIMITADA,77.159.078-0,VITACURA 7125,av vitacura 7125,Vitacura,Santiago,12:00 - 20:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,orfalimauricio@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Roof Burger Viña,Roof Burger Viña,SOCIEDAD GASTRONÓMICA ROOF BURGER LIMITADA,76.510.326-6,4 PONIENTE 506,6 norte 309 esquina 4 poniente,Viña del Mar,Valparaíso,12:00 - 20:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,orfalimauricio@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Refrigerato Peñaflor ,Refrigerato Peñaflor ,COMERCIALIZADORA Y DISTRIBUIDORA REFRIGERATO LIMITADA,77.171.531-1,ARTURO PRAT 02,arturo prat 02,Peñaflor,Santiago,10:00 - 18:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,leslie.espinoza@refrigerato.cl,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Pizzería Popular Salvador,Pizzería Popular Salvador,ECO DE LOS ANDES SPA,76.708.747-0,AV. SALVADOR 857- PROVIDENCIA,av salvador 857,Providencia,Santiago,10:00 - 17:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,julioss.yeka@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Opera Liquor Store,Opera Liquor Store Los Trapenses,DISTRIBUIDORA CASA LA CRUZ LIMITADA,77.108.104-5,AV CAMINO LOS TRAPENSES 3200,av camino los trapenses 3200 l3,Lo Barnechea,Santiago,11:00 - 19:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,nicolas@operals.cl,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Opera Liquor Store,Opera Liquor Store Las Condes,DISTRIBUIDORA CASA LA CRUZ LIMITADA ,77.108.104-5,AV CAMINO LOS TRAPENSES 3200,camino el alba 12620 local 03,Las Condes,Santiago,11:00 - 20:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,nicolas@operals.cl ,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Opera Liquor Store,Opera LS Pie Andino,DISTRIBUIDORA CASA LA CRUZ LIMITADA ,77.108.104-5,AV CAMINO LOS TRAPENSES 3200,paseo pie andino 4850 l s-122,Lo Barnechea,Santiago,11:00 - 20:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,nicolas@operals.cl ,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Emporio La Plaza,Emporio La Plaza,ALIMENTOS BRAVO LIMITADA,76.361.328-3,VALENZUELA LLANOS 1342 OF. DEPTO L-8,valenzuela llanos 1342 local 8,La Reina,Santiago,10:00 - 18:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,emporiolaplaza@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Dulceria Montolin,Dulceria Montolin La Reina,anti,76.632.500-9,LUIS PASTEUR 6199,avossa 1139,La Reina,Santiago,09:00 - 18:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,pedro.delano@dulceriamontolin.cl ,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Dulceria Montolin,Dulceria Montolin Vitacura,COMERCIAL R Y V S A,76.632.500-9,LUIS PASTEUR 6199,luis pasteur 6199,Vitacura,Santiago,09:00 - 18:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,pedro.delano@dulceriamontolin.cl ,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Club Aeropadel (Babaganoush),Club Aeropadel (Babaganoush),SERVICIOS Y EVENTOS LIMITADA ,76.520.713-4,AV TOBALABA 6779,nueva larrain 8320,La Reina,Santiago,14:00 - 20:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,hanan.espinoza@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Café Paula,Café Paula,INVERSIONES Y SERVICIOS GC SPA,76.954.987-0,FRANCISCO DE VILLAGRA 125,francisco de villagra 125 local c,Ñuñoa ,Santiago,09:00 - 21:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,a.gougain@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Almazán,Almazán,EMPRESA DE SERVICIOS DE ALIMENTACION LIMITADA,76.497.391-7,Jose manuel cousiño 1835,av pocuro 2865-2875,Providencia,Santiago,09:30 - 19:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,Almazan.gourmet@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Cocas Tienda Gourmet,Cocas Tienda Gourmet,SERVICIOS ALIMENTICIOS CASTCOCK SPA,77.508.923-7,Av Cuatro poniente 01127 local 4 Maipú,Av Cuatro poniente 01127 local 4 Maipú,Maipú,Santiago,10.30-20:00,"$78,960",NOTA DE VENTA (CONTADO),,CAJA,,claudiocock@gmail.com ,VENTAS ,FJAMIS,,41220 ,$ 84.960,
StreetWrap Santiago Centro,StreetWrap Santiago Centro,GASTRONÓMICA CIMAS DE LOS ANDES SPA ,77.805.351-9,CATEDRAL 1275,catedral 1275,Santiago Centro,Santiago,10:00 - 20:00,"$75,600",NOTA DE VENTA,,CAJA,,streetwrap1275@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Berlin Doner Kebab,Berlin Doner Kebab,BERLIN DONER KEBAB SPA,77.122.297-8,GERONIMO DE ALDERETE 1579,gerónimo de alderete 1579,Vitacura,Santiago,9.30 a 17 hs,"$78,960",CHEQUE 30 DÍAS,,CAJA,,contacto@bdk.cl,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Petra Fullmarket,Petra Fullmarket,LEINA ANDRAWES BOULES HEJAZEEN,14.438.378-8,HERNANDO DE MAGALLANES 872,hernando de magallanes 872,Las Condes,Santiago,10:00 - 18:00,"$78,960",CHEQUE (15 DÍAS),,CAJA,,salmanhijazimlopez@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
NOAH Sushi Providencia,NOAH Sushi Providencia,LA FORTUNA SPA,76.943.049-0,PEDRO DE VALDIVIA 64,av pedro de valdivia 64,Providencia,Santiago,10:00 - 16:00,$78.960,CHEQUE (15 DÍAS),,CAJA,,noah.providencia@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Mister Ham,Mister Ham,MISTER HAM SPA,76.906.133-9,Avenida Irarrázaval 4971 local 5A,avenida irarrázaval 4971 local 5a,Ñuñoa,Santiago,11:00 - 21:00,$78.960,CHEQUE,,CAJA,,misterhamsj@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
El Refugio Minimarket,El Refugio Minimarket,COMERCIAL EL REFUGIO LIMITADA ,77.209.440-K,ENCOMENDEROS 208 OF. DEPTO L. 6,encomenderos 208,Las Condes,Santiago,09:00 - 16:00,$78.960,CHEQUE,,CAJA,,pilarurzua98@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Blue Market,Blue Market,COMERCIAL VELÁSQUEZ Y ORELLANA LIMITADA,77.656.987-9,AV EGAÑA 252  LOCAL 2,av egaña 252 local 2,La Reina,Santiago,09:00 - 21:00,$78.960,NOTA DE VENTA (CONTADO),,CAJA,,comercialvelasquezyorellana@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Productos Sin Gluten El Pueblo,Productos Sin Gluten El Pueblo,FERNANDEZ Y ORTIZ LTDA,76.322.465-1,"AVENIDA PORTUGAL 1566, SANTIAGO",avportugal 1566,Santiago Centro,Santiago,9:00 a 17.30,"$78,960",CHEQUE,,CAJA,,productossinglutenelpueblo@gmail.com ,VENTAS ,FJAMIS,,41220 ,$ 84.960,
NOAH Sushi Vitacura,NOAH Sushi Vitacura,RIETI SPA (77.963.476-0),77.963.476-0,TABANCURA 1530 VITACURA,tabancura 1530 vitacura,Vitacura,Santiago,10:00 - 16:00,"$78,960",CHEQUE (15 DÍAS),,CAJA,,sebastian.calderon@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
NOAH Sushi Ñuñoa,NOAH Sushi Ñuñoa,NOAH SUSHI ÑUÑOA,77.630.524-3,JOSE LUIS ARANEDA 20 ÑUÑOA,josé luis araneda 20,Ñuñoa,Santiago,10:00 - 19:00,"$78,960",CHEQUE (15 DÍAS),,CAJA,,sebastian.calderon@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
NOAH Sushi Las Condes,NOAH Sushi Las Condes,CAPPIO CHILE SPA,76.442.096-9,AV. CUARTO CENTENARIO 979 OF. DEPTO 104,av cuarto centenario 979 local 104,Las Condes,Santiago,10:00 - 16:00,"$78,960",CHEQUE (15 DÍAS),,CAJA,,gestioncompras@noahsushi.cl,VENTAS ,FJAMIS,,41220 ,$ 84.960,
La Dulzura de Agustina,La Dulzura de Agustina,INVERSIONES Y COMERCIAL SUSANA SANHUEZA SPA,77.795.695-7,SAN JOSE DE LA ESTRELLA 301,av san josé de la estrella oriente 301g,La Florida,Santiago,11:00 - 20:00,"$78,960",CHEQUE,,CAJA,,hectorpadillac@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
L'Arrabbiata,L'Arrabbiata,LARRABBIATA SPA,76.730.705-5,AV MANUEL MONTT 2559,av manuel montt 2559 local 2,Ñuñoa,Santiago,10:00 - 21:00,"$78,960",CHEQUE,,CAJA,,Larrabbiata.spa@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Rappi Turbo,Turbo Estación Central,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,av gladys marín millie 5773,Estación Central,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo Viña,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,av valparaíso 1165,Viña del Mar,Valparaíso,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo La Dehesa,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,avenida la dehesa 1450,Lo Barnechea,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo La Florida,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,avenida la florida 9073 local 5,La Florida,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo Padre Hurtado,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,avenida padre hurtado 1233,Vitacura,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo Recoleta,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,avenida recoleta 560 local 4,Recoleta,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo Vitacura,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,avenida vitacura 4607 locales 27 y 28,Vitacura,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo Balmoral,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,balmoral 309 local 12,Las Condes,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo Chile España ,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,chile españa 3110,Ñuñoa,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo Bustamante,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,irarrázaval 200 ñuñoa local 102,Ñuñoa,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo Lo Fontecilla,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,lo fontecilla 201 local 4,Las Condes,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo PDG,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,príncipe de gales 7138,La Reina,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Rappi Turbo,Turbo Roger de Flor,MOUSTACHE BEAMS SPA,77.393.795-8,BALMORAL 309,roger de flor 2950,Las Condes,Santiago,08:30 - 17:00,$73.200,30,Revisar OC,CAJA,,pedro.prieto@rappi.com,VENTAS ,FNASSAR,,41220 ,$80.520,
Key Logistics,Key Logistics (ENEX),KEYLOGISTICS CHILE S A,96.930.440-6,Pio XI 1290,"av lo espejo 01740, Bodega 3",San Bernardo,Santiago,08:00 - 13:00,$74.160,30,Revisar OC,CAJA,,jhonlly.sulbaran@keylogistics.cl,VENTAS ,FNASSAR,BAN,41220 ,$81.576,
Fork,Fork,BETTER FOOD SPA,76.307.414-5,Av. Américo Vespucio 1710 Quilicura,americo vespucio 1650,Quilicura,Santiago,08:00 - 14:30,$74.160,30,Revisar OC,CAJA,,compras@betterfood.cl,VENTAS ,FNASSAR,,41220 ,$81.576,
StreetWrap San Miguel,StreetWrap San Miguel,GASTRONÓMICA ARC SPA,78.000.184-4,Gran Avenida Jose Miguel Carrera 4311 local 103,gran avenida jose miguel carrera 4311 local 103,San Miguel,Santiago,10:00 - 20:00,$75.600,30,,CAJA,,arc.gastronomica@gmail.com,VENTAS ,FJAMIS,,41220 ,$ 84.960,
Bidfood,Bidfood,BIDFOOD CHILE S.A.,76.111.152-3,LO ECHEVERERS 550,lo echevers nº 550 edificio 12,Quilicura,Santiago,09:00 - 13:00,$76.800,30,Revisar OC,CAJA,,compras@bidfood.cl,VENTAS ,FNASSAR,,41220 ,$84.480,
Peya Market,Peya Market Peñalolen,DELIVERY HERO STORES CHILE SPA,77.125.361-K,Av. Las Condes 11415,altos del parque sur 5800,Peñalolen,Santiago,09:00 - 15:00,$78.000,30,Revisar OC,CAJA,,mariajose@grupocentral.io,VENTAS ,FNASSAR,,41220 ,$85.800,
